side,x,y,z,interaction
1,487.3,491.2,438.4,1
1,484.6,477.6,486.1,1
1,531.8,449.4,508.2,1
1,427.1,541,352.6,1
1,378.6,567.4,332.3,1
1,373.4,581.9,275.1,1
2,519.3,301.5,531.7,1
2,446.9,249.2,492.4,1
2,465.6,285.7,538,1
2,368.5,193,448.8,1
2,320.8,180.2,439.4,1
2,299.9,146,393.5,1
3,241.9,299.9,248.8,1
3,254.8,407.7,219.8,1
3,278.6,506.1,198.5,1
3,230,195.2,271.9,1
3,213.8,252.5,276,1
3,249.2,460.3,226.2,1
1,498.7,433.6,590.4,0
1,472,453.3,556.2,0
1,443.8,477.1,515.3,0
1,413.4,495.1,476.1,0
1,394,532,435.2,0
1,369.8,560.2,398.4,0
1,346.3,586.7,363.2,0
1,318.1,608.8,324.3,0
1,287,627.6,284.1,0
1,517.7,423.3,575.4,0
1,494.1,450.6,541.9,0
1,439.8,497,462.8,0
1,388.1,553.1,383.5,0
1,336.6,600.7,307.9,0
1,307.8,621.4,267.4,0
1,541.6,420.2,563.3,0
1,432,527.3,404.5,0
1,325.4,615.4,250.5,0
1,563.9,415.1,552.3,0
1,348.5,615.2,229.9,0
1,587.8,409.6,537.5,0
1,527.6,467.2,456.3,0
1,469.2,516.3,371.3,0
1,417.8,551,292.4,0
1,361.3,605.6,211.7,0
1,612.8,409.7,525.4,0
1,584.9,434.9,475.6,0
1,550.2,463.5,441,0
1,521,488,402.5,0
1,489.7,507.8,354.1,0
1,463.9,528.5,313.3,0
1,439.1,544.8,269.4,0
1,412.3,567.5,231.1,0
1,378.1,580.1,188.2,0
2,203.8,144,401.8,0
2,240.9,177.2,426.5,0
2,277.1,202.2,453.3,0
2,311.7,232.2,478.9,0
2,357.1,250.6,508.3,0
2,392.4,271.2,536.3,0
2,426.8,295.2,565.2,0
2,454.6,323.6,585.1,0
2,488.2,359,609.1,0
2,223,125.6,394.5,0
2,261,158.6,420.2,0
2,333.3,213.3,469.6,0
2,407.1,262.9,521.5,0
2,473.4,315.9,570.3,0
2,509.5,346.3,595.1,0
2,238.5,112.9,381.3,0
2,391.9,227.6,486.1,0
2,534.9,335.3,578.5,0
2,261,104.5,355.6,0
2,559.4,326.1,562.9,0
2,278.5,90.55,341,0
2,352.6,156.7,403.9,0
2,428.4,208.7,457.6,0
2,503.9,267.7,499.4,0
2,579.6,322.8,548.1,0
2,293.5,81.62,331.6,0
2,334,113.9,368.5,0
2,371.6,146.9,385.4,0
2,411.4,172,414.7,0
2,450.7,199.9,436.7,0
2,482.2,221.7,456.8,0
2,525.5,253.3,479,0
2,564.4,282.3,503.4,0
2,597.9,315.9,524.7,0
3,231.5,572.7,242.9,0
3,228.5,525.9,252.5,0
3,217.2,468.9,265.8,0
3,212.1,421.1,281.4,0
3,198.4,366.3,285.9,0
3,185.5,316.3,295.4,0
3,172.4,264.1,304.8,0
3,165.3,216.9,316.6,0
3,156.1,170.4,327.5,0
3,246.8,568.9,216.4,0
3,241.1,519.3,228.4,0
3,225.8,416,255.5,0
3,207.2,308.5,278,0
3,183.7,209.3,299.6,0
3,177.6,163.8,314.8,0
3,264.4,562.2,198.2,0
3,229.2,350.9,249.1,0
3,199.9,151.3,303.2,0
3,297.9,555.2,190.9,0
3,218.6,139.9,284.3,0
3,310.6,547.6,169.7,0
3,282.2,445.8,196.9,0
3,265.1,339.3,215.8,0
3,253.6,236.7,244.1,0
3,241.3,126.4,271.2,0
3,315,544.2,145.3,0
3,302.5,494,149.8,0
3,303.2,439.9,173.3,0
3,288.9,386.4,185.1,0
3,285.8,333.3,200.5,0
3,275.2,282.1,213.6,0
3,272.5,229.7,229.8,0
3,268.8,181.7,234.4,0
3,265.6,123.3,255.1,0
